"title","rental_rate","overall_average","standard_deviation","standard_score"
"Apollo Teen","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Arabia Dogma","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Arachnophobia Rollercoaster","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Argonauts Town","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Arizona Bang","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Ark Ridgemont","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Armageddon Lost","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Army Flintstones","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Arsenic Independence","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Artist Coldblooded","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Dying Maker","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Atlantis Cause","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Attacks Hate","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Attraction Newton","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Autumn Crow","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Baby Hall","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Backlash Undefeated","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Badman Dawn","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Baked Cleopatra","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Casualties Encino","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Balloon Homeward","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Ballroom Mockingbird","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Bang Kwai","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Banger Pinocchio","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Barbarella Streetcar","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Barefoot Manchurian","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Basic Easy","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Beach Heartbreakers","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bear Graceland","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Beast Hunchback","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Beauty Grease","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bed Highball","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bedazzled Married","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Beethoven Exorcist","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Behavior Runaway","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Beneath Rush","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Berets Agent","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Betrayed Rear","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Beverly Outlaw","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bikini Borrowers","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bilko Anonymous","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bill Others","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bingo Talented","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Birch Antitrust","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bird Independence","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Birdcage Casper","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Birds Perdition","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Blackout Private","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Blade Polish","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Blanket Beverly","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Blindness Gun","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Blood Argonauts","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Blues Instinct","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Boiled Dares","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bonnie Holocaust","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Boogie Amelie","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Boondock Ballroom","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Born Spinal","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Borrowers Bedazzled","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Boulevard Mob","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Bound Cheaper","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Bowfinger Gables","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Brannigan Sunrise","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Braveheart Human","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Breakfast Goldfinger","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Breaking Home","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bride Intrigue","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Bringing Hysterical","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Brooklyn Desert","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Brotherhood Blanket","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Bubble Grosse","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bucket Brotherhood","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Bugsy Song","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bull Shawshank","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Bulworth Commandments","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Bunch Minds","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Butch Panther","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Butterfly Chocolat","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Cabin Flash","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Caddyshack Jedi","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Calendar Gunfight","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"California Birds","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Camelot Vacation","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Campus Remember","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Candidate Perdition","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Candles Grapes","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Canyon Stock","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Caper Motions","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Caribbean Liberty","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Carol Texas","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Carrie Bunch","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Casablanca Super","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Casper Dragonfly","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Cassidy Wyoming","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Cat Coneheads","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Catch Amistad","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Cause Date","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Celebrity Horn","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Center Dinosaur","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Chainsaw Uptown","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Champion Flatliners","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Chance Resurrection","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Clash Freddy","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Chaplin License","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Charade Duffel","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Chariots Conspiracy","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Chasing Fight","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Cheaper Clyde","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Chicago North","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Chicken Hellfighters","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Chill Luck","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Chinatown Gladiator","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Chisum Behavior","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Chitty Lock","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Chocolat Harry","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Chocolate Duck","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Christmas Moonshine","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Cider Desire","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Cincinatti Whisperer","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Circus Youth","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Citizen Shrek","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Cleopatra Devil","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Clerks Angels","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Clockwork Paradise","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Clones Pinocchio","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Closer Bang","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Club Graffiti","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Clue Grail","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Clueless Bucket","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Clyde Theory","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Coast Rainbow","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Core Suit","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Coldblooded Darling","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Color Philadelphia","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Coma Head","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Comancheros Enemy","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Comforts Rush","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Command Darling","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Commandments Express","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Coneheads Smoochy","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Confessions Maguire","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Confidential Interview","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Confused Candles","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Congeniality Quest","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Connecticut Tramp","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Connection Microcosmos","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Conquerer Nuts","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Conspiracy Spirit","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Contact Anonymous","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Control Anthem","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Conversation Downhill","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Cowboy Doom","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Craft Outfield","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Cranes Reservoir","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Crazy Home","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Creatures Shakespeare","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Creepers Kane","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Crooked Frogmen","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Crossing Divorce","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Crossroads Casualties","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Crow Grease","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Crowds Telemark","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Cruelty Unforgiven","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Crusade Honey","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Crystal Breaking","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Cupboard Sinners","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Curtain Videotape","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Cyclone Family","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Daddy Pittsburgh","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Daisy Menagerie","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dalmations Sweden","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dances None","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dancing Fever","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dangerous Uptown","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dares Pluto","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Darkness War","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Darko Dorado","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Darling Breaking","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Darn Forrester","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Daughter Madigan","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dawn Pond","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Day Unfaithful","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dazed Punk","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Deceiver Betrayed","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Deep Crusade","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Deer Virginian","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Deliverance Mulholland","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Desert Poseidon","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Desire Alien","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Desperate Trainspotting","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Destination Jerk","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Destiny Saturday","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Details Packer","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Detective Vision","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Devil Desire","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Diary Panic","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Dinosaur Secretary","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Dirty Ace","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Disciple Mother","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Disturbing Scarface","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Divide Monster","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Divine Resurrection","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Divorce Shining","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Doctor Grail","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Dogma Family","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dolls Rage","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Donnie Alley","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Doom Dancing","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Doors President","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dorado Notting","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Double Wrath","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Doubtfire Labyrinth","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Downhill Enough","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dozen Lion","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dracula Crystal","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dragon Squad","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dragonfly Strangers","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dream Pickup","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Drifter Commandments","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Driver Annie","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Driving Polish","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Drop Waterfront","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Drumline Cyclone","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Drums Dynamite","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Duck Racer","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Dude Blindness","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Duffel Apocalypse","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Dumbo Lust","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Durham Panky","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Dwarfs Alter","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Dynamite Tarzan","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Eagles Panky","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Early Home","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Earring Instinct","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Earth Vision","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Easy Gladiator","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Edge Kissing","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Effect Gladiator","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Egg Igby","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Egypt Tenenbaums","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Element Freddy","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Elephant Trojan","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Elf Murder","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Elizabeth Shane","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Empire Malkovich","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Encino Elf","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Encounters Curtain","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Ending Crowds","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Enemy Odds","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"English Bulworth","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Enough Raging","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Entrapment Satisfaction","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Escape Metropolis","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Eve Resurrection","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Everyone Craft","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Evolution Alter","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Excitement Eve","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Exorcist Sting","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Expecations Natural","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Expendable Stallion","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Express Lonely","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Extraordinary Conquerer","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Eyes Driving","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Factory Dragon","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Falcon Volume","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Family Sweet","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fantasia Park","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Fantasy Troopers","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fargo Gandhi","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Fatal Haunted","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Feathers Metal","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fellowship Autumn","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Ferris Mother","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Feud Frogmen","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fever Empire","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Fiction Christmas","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fiddler Lost","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Fidelity Devil","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Fight Jawbreaker","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Finding Anaconda","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fire Wolves","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Fireball Philadelphia","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Firehouse Vietnam","0.99","2.9800000000000000","1.6463932126350043","-1.20870274775675433103"
"Fish Opus","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Flamingos Connecticut","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Flash Wars","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Flatliners Killer","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Flight Lies","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Flintstones Happiness","4.99","2.9800000000000000","1.6463932126350043","1.2208505140658674"
"Floats Garden","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
"Flying Hook","2.99","2.9800000000000000","1.6463932126350043","0.00607388315455655443"
